unix_ts,type,longitude,latitude,message
1581897667,Vehicle breakdown,103.7865404,1.293624666,(17/2)7:54 Vehicle breakdown on AYE (towards Tuas) before Buona Vista exit.
1581897667,Vehicle breakdown,103.826274,1.339313856,(17/2)7:51 Vehicle breakdown on Lornie Highway (towards Queensway) after MacRitchie viaduct with congestion till Bishan Flyover.
1581898147,Vehicle breakdown,103.7719646,1.408520975,(17/2)8:05 Vehicle breakdown on BKE (towards PIE) after Mandai Rd Exit. Avoid lane 1.
1581898147,Accident,103.8593762,1.311657094,(17/2)7:59 Accident on Jalan Besar (towards City) after Lavender Street with congestion till Lavender Street.
1581898147,Vehicle breakdown,103.7865404,1.293624666,(17/2)7:54 Vehicle breakdown on AYE (towards Tuas) before Buona Vista exit.
1581898147,Vehicle breakdown,103.826274,1.339313856,(17/2)7:51 Vehicle breakdown on Lornie Highway (towards Queensway) after MacRitchie viaduct with congestion till Bishan Flyover. Avoid left lane.
1581898267,Vehicle breakdown,103.7719646,1.408520975,(17/2)8:05 Vehicle breakdown on BKE (towards PIE) after Mandai Rd Exit. Avoid lane 1.
1581898267,Accident,103.8593762,1.311657094,(17/2)7:59 Accident on Jalan Besar (towards City) after Lavender Street with congestion till Lavender Street.
1581898267,Vehicle breakdown,103.7865404,1.293624666,(17/2)7:54 Vehicle breakdown on AYE (towards Tuas) before Buona Vista exit.
1581898267,Vehicle breakdown,103.826274,1.339313856,(17/2)7:51 Vehicle breakdown on Lornie Highway (towards Queensway) after MacRitchie viaduct with congestion till Bishan Flyover. Avoid left lane.
1581898387,Vehicle breakdown,103.7719646,1.408520975,(17/2)8:05 Vehicle breakdown on BKE (towards PIE) after Mandai Rd Exit. Avoid lane 1.
1581898387,Accident,103.8593762,1.311657094,(17/2)7:59 Accident on Jalan Besar (towards City) after Lavender Street with congestion till Lavender Street.
1581898387,Vehicle breakdown,103.7865404,1.293624666,(17/2)7:54 Vehicle breakdown on AYE (towards Tuas) before Buona Vista exit.
1581898387,Vehicle breakdown,103.826274,1.339313856,(17/2)7:51 Vehicle breakdown on Lornie Highway (towards Queensway) after MacRitchie viaduct with congestion till Bishan Flyover. Avoid left lane.
1581898867,Accident,103.8593762,1.311657094,(17/2)7:59 Accident on Jalan Besar (towards City) after Lavender Street with congestion till Whampoa East.
1581898867,Vehicle breakdown,103.826274,1.339313856,(17/2)7:51 Vehicle breakdown on Lornie Highway (towards Queensway) after MacRitchie viaduct with congestion till Bishan Flyover. Avoid left lane.
1581898987,Accident,103.8593762,1.311657094,(17/2)7:59 Accident on Jalan Besar (towards City) after Lavender Street with congestion till Whampoa East.
1581899107,Accident,103.8593762,1.311657094,(17/2)7:59 Accident on Jalan Besar (towards City) after Lavender Street with congestion till Whampoa East.
